plot_season_id,plot_id,season,latitude,longitude,area_m2,growing_days,rain_preseason_mm,rain_growing_mm,rain_flowering_mm,rain_peak_day_mm,dry_days_count,heavy_rain_days,rainfall_cv,days_to_first_rain,yield_kg_ha
P001_2023_LR,P001,2023_LR,-0.3066,35.9668,1800,135,28.281200000000002,540.4139,234.2283,48.4425,101,7,2.144642261937423,-1,3000.0
P001_2023_SR,P001,2023_SR,-0.3066,35.9668,1800,102,110.4477,323.7482,105.5793,79.9462,91,4,4.036873157182892,-30,2000.0
P001_2024_LR,P001,2024_LR,-0.3066,35.9668,1800,140,37.2338,855.0690999999999,382.59569999999997,115.2477,95,14,2.297942954065822,-20,3500.0
